document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
5063427,114,0,0,0,-1,6,88,1,track,user,0.8,4
5072629,601,0,0,0,-1,0,15,1,track,user,0.8,4
5084656,196,0,0,0,-1,10,72,1,track,user,0.8,4
5085510,177,0,0,0,-1,4,34,1,track,user,0.8,4
5099815,296,0,0,0,-1,3,60,1,track,user,0.8,4
5103678,336,0,0,0,-1,6,68,1,track,user,0.8,4
5104381,601,0,0,0,-1,0,12,1,track,user,0.8,4
5129433,0,0,0,0,-1,3,24,1,track,user,0.8,4
5156460,601,0,0,0,-1,0,12,1,track,user,0.8,4
5159690,344,0,0,0,-1,10,67,1,track,user,0.8,4
5197085,601,0,0,0,-1,0,21,1,track,user,0.8,4
5240869,0,0,0,0,-1,2,18,1,track,user,0.8,4
5245708,601,0,0,0,-1,0,7,1,track,user,0.8,4
5246586,547,0,1,1,2,13,92,1,track,user,0.8,4
5265351,601,0,0,0,-1,0,7,1,track,user,0.8,4
5266921,239,0,0,0,-1,9,62,1,track,user,0.8,4
5276009,0,0,0,0,-1,1,20,1,track,user,0.8,4
5280460,0,0,0,0,-1,3,39,1,track,user,0.8,4
5301900,601,0,0,0,-1,0,10,1,track,user,0.8,4
5314514,358,0,0,0,-1,9,83,1,track,user,0.8,4
5329362,171,0,0,0,-1,8,53,1,track,user,0.8,4
5333829,601,0,0,0,-1,0,9,1,track,user,0.8,4
5356726,0,0,0,0,-1,5,57,1,track,user,0.8,4
5360316,0,0,0,0,-1,2,42,1,track,user,0.8,4
5363710,387,0,0,0,-1,1,22,1,track,user,0.8,4
5374366,0,0,0,0,-1,1,26,1,track,user,0.8,4
5377360,601,0,0,0,-1,0,94,1,track,user,0.8,4
5392738,601,0,0,0,-1,0,34,1,track,user,0.8,4
5397610,19,0,0,1,6,8,83,1,track,user,0.8,4
5444713,601,0,0,0,-1,0,9,1,track,user,0.8,4
5489275,447,1,1,1,1,6,90,1,track,user,0.8,4
5533983,128,0,0,0,-1,7,52,1,track,user,0.8,4
5536322,601,0,0,0,-1,0,6,1,track,user,0.8,4
5549579,601,0,0,0,-1,0,8,1,track,user,0.8,4
5593717,601,0,0,0,-1,0,12,1,track,user,0.8,4
5644473,601,0,0,0,-1,0,17,1,track,user,0.8,4
5647487,601,0,0,0,-1,0,7,1,track,user,0.8,4
5648613,601,0,0,0,-1,0,10,1,track,user,0.8,4
5695969,601,0,0,0,-1,0,6,1,track,user,0.8,4
5696716,130,0,0,0,-1,2,74,1,track,user,0.8,4
5709629,601,0,0,0,-1,0,5,1,track,user,0.8,4
5714201,601,0,0,0,-1,0,5,1,track,user,0.8,4
5717477,242,0,0,0,49,6,81,1,track,user,0.8,4
5719604,601,0,0,0,-1,0,3,1,track,user,0.8,4
5721342,144,0,0,0,-1,2,18,1,track,user,0.8,4
5725231,601,0,0,0,-1,0,5,1,track,user,0.8,4
5751335,601,0,0,0,-1,0,6,1,track,user,0.8,4
5787457,601,0,0,0,-1,0,18,1,track,user,0.8,4
5804070,136,0,0,0,-1,1,70,1,track,user,0.8,4
5812382,75,0,1,1,2,1,47,1,track,user,0.8,4
5821371,601,0,0,0,-1,0,8,1,track,user,0.8,4
5830767,468,0,0,0,-1,4,58,1,track,user,0.8,4
5836822,601,0,0,0,-1,0,15,1,track,user,0.8,4
5855735,193,0,0,0,26,3,26,1,track,user,0.8,4
5874118,601,0,0,0,-1,0,9,1,track,user,0.8,4
5874250,469,0,0,0,-1,3,30,1,track,user,0.8,4
5874255,83,0,0,0,-1,7,47,1,track,user,0.8,4
5889755,129,0,0,0,-1,8,66,1,track,user,0.8,4
5912319,247,0,0,0,-1,4,54,1,track,user,0.8,4
5925027,0,0,0,0,-1,1,14,1,track,user,0.8,4
5931754,601,0,0,0,-1,0,20,1,track,user,0.8,4
5955757,0,0,0,0,-1,2,45,1,track,user,0.8,4
5960656,601,0,0,0,-1,0,10,1,track,user,0.8,4
5963246,601,0,0,0,-1,0,5,1,track,user,0.8,4
5980412,0,0,0,0,-1,2,66,1,track,user,0.8,4
6038578,601,0,0,0,-1,0,8,1,track,user,0.8,4
6050251,0,0,0,0,-1,3,25,1,track,user,0.8,4
6096045,601,0,0,0,-1,0,12,1,track,user,0.8,4
6136271,601,0,0,0,-1,0,4,1,track,user,0.8,4
6138998,601,0,0,0,-1,0,19,1,track,user,0.8,4
6141758,601,0,0,0,-1,0,9,1,track,user,0.8,4
6146584,45,0,0,0,-1,1,21,1,track,user,0.8,4
6150048,55,0,0,0,-1,5,37,1,track,user,0.8,4
6164193,412,0,0,0,190,7,94,1,track,user,0.8,4
6170505,601,0,0,0,-1,0,11,1,track,user,0.8,4
6173645,601,0,0,0,-1,0,12,1,track,user,0.8,4
6181092,601,0,0,0,-1,0,16,1,track,user,0.8,4
6181410,601,0,0,0,-1,0,10,1,track,user,0.8,4
6185229,601,0,0,0,-1,0,8,1,track,user,0.8,4
6195773,601,0,0,0,-1,0,10,1,track,user,0.8,4
6211558,601,0,0,0,-1,0,8,1,track,user,0.8,4
6218475,601,0,0,0,-1,0,3,1,track,user,0.8,4
6225704,601,0,0,0,-1,0,10,1,track,user,0.8,4
6307382,601,0,0,0,-1,0,16,1,track,user,0.8,4
6315973,0,0,0,0,-1,1,35,1,track,user,0.8,4
6322726,480,0,1,1,5,1,65,1,track,user,0.8,4
6352585,140,0,0,0,-1,13,94,1,track,user,0.8,4
6364220,601,0,0,0,-1,0,5,1,track,user,0.8,4
6367098,601,0,0,0,-1,0,15,1,track,user,0.8,4
6372610,145,0,0,0,-1,15,97,1,track,user,0.8,4
6383821,601,0,0,0,-1,0,5,1,track,user,0.8,4
6385666,70,0,0,0,-1,1,17,1,track,user,0.8,4
6392846,347,0,1,1,2,5,71,1,track,user,0.8,4
6393920,484,0,0,0,-1,3,30,1,track,user,0.8,4
6406400,601,0,0,0,-1,0,7,1,track,user,0.8,4
6410485,601,0,0,0,-1,0,18,1,track,user,0.8,4
6432315,560,0,0,0,-1,6,63,1,track,user,0.8,4
6455499,18,0,0,0,-1,9,71,1,track,user,0.8,4
6458888,601,0,0,0,-1,0,10,1,track,user,0.8,4
6533237,601,0,0,0,-1,0,3,1,track,user,0.8,4
6564953,601,0,0,0,-1,0,3,1,track,user,0.8,4
6575213,0,0,0,0,-1,4,29,1,track,user,0.8,4
6581645,137,0,0,0,-1,1,18,1,track,user,0.8,4
6593028,601,0,0,0,-1,0,9,1,track,user,0.8,4
6595499,478,0,0,0,-1,1,57,1,track,user,0.8,4
6611331,0,0,0,0,-1,1,18,1,track,user,0.8,4
6623664,279,0,0,0,-1,4,77,1,track,user,0.8,4
6640603,601,0,0,0,-1,0,6,1,track,user,0.8,4
6641136,220,0,0,0,-1,1,23,1,track,user,0.8,4
6656446,50,0,0,0,-1,1,16,1,track,user,0.8,4
6688070,601,0,0,0,-1,0,6,1,track,user,0.8,4
6688472,601,0,0,0,-1,0,13,1,track,user,0.8,4
6697224,601,0,0,0,-1,0,4,1,track,user,0.8,4
6700589,601,0,0,0,-1,0,10,1,track,user,0.8,4
6706769,601,0,0,0,-1,0,4,1,track,user,0.8,4
6774579,252,0,0,0,-1,3,24,1,track,user,0.8,4
6817577,261,0,0,0,-1,1,18,1,track,user,0.8,4
6859047,488,0,0,0,-1,3,29,1,track,user,0.8,4
6861685,601,0,0,0,-1,0,9,1,track,user,0.8,4
6865544,601,0,0,0,-1,0,34,1,track,user,0.8,4
6867813,601,0,0,0,-1,0,6,1,track,user,0.8,4
6873434,0,0,0,0,-1,4,35,1,track,user,0.8,4
6880995,419,0,0,0,-1,2,57,1,track,user,0.8,4
6882088,601,0,0,0,-1,0,3,1,track,user,0.8,4
6896923,601,0,0,0,-1,0,8,1,track,user,0.8,4
6905222,0,0,0,0,-1,3,33,1,track,user,0.8,4
6913526,601,0,0,0,-1,0,22,1,track,user,0.8,4
6942515,0,0,0,0,-1,3,85,1,track,user,0.8,4
6983936,505,1,1,1,1,3,27,1,track,user,0.8,4
6990284,316,0,0,0,-1,4,38,1,track,user,0.8,4
7014063,601,0,0,0,-1,0,17,1,track,user,0.8,4
7016956,386,0,0,0,-1,5,52,1,track,user,0.8,4
7021124,614,0,0,0,-1,11,78,1,track,user,0.8,4
7051109,0,0,0,0,-1,1,20,1,track,user,0.8,4
7087211,601,0,0,0,-1,0,22,1,track,user,0.8,4
7108915,601,0,0,0,-1,0,8,1,track,user,0.8,4
7125895,601,0,0,0,-1,0,9,1,track,user,0.8,4
7139700,0,0,0,0,-1,3,28,1,track,user,0.8,4
7156784,58,0,1,1,4,6,57,1,track,user,0.8,4
7206643,601,0,0,0,-1,0,7,1,track,user,0.8,4
7233090,379,0,0,0,-1,3,47,1,track,user,0.8,4
7237826,367,0,0,0,-1,3,42,1,track,user,0.8,4
7239594,29,0,0,0,-1,1,38,1,track,user,0.8,4
7246758,65,0,0,0,-1,1,38,1,track,user,0.8,4
7289479,601,0,0,0,-1,0,13,1,track,user,0.8,4
7295937,219,0,0,0,-1,9,79,1,track,user,0.8,4
7299966,145,0,0,0,-1,3,42,1,track,user,0.8,4
7304369,601,0,0,0,-1,0,9,1,track,user,0.8,4
7307119,601,0,0,0,-1,0,11,1,track,user,0.8,4
7308638,601,0,0,0,-1,0,13,1,track,user,0.8,4
7308992,601,0,0,0,-1,0,14,1,track,user,0.8,4
7315229,601,0,0,0,-1,0,32,1,track,user,0.8,4
7322246,492,0,0,0,-1,8,70,1,track,user,0.8,4
7328123,399,0,0,0,-1,7,70,1,track,user,0.8,4
7359024,601,0,0,0,-1,0,10,1,track,user,0.8,4
7387766,125,0,0,0,58,2,28,1,track,user,0.8,4
7403675,601,0,0,0,-1,0,3,1,track,user,0.8,4
7431001,301,0,0,0,172,8,68,1,track,user,0.8,4
7448171,66,0,0,0,-1,12,69,1,track,user,0.8,4
7456531,570,0,0,1,8,10,83,1,track,user,0.8,4
7470816,601,0,0,0,-1,0,13,1,track,user,0.8,4
7532404,620,0,0,0,221,5,56,1,track,user,0.8,4
7551784,585,1,1,1,1,7,48,1,track,user,0.8,4
7569650,194,0,0,0,-1,3,24,1,track,user,0.8,4
7582674,568,1,1,1,1,1,16,1,track,user,0.8,4
7588708,601,0,0,0,-1,0,16,1,track,user,0.8,4
7590612,601,0,0,0,-1,0,3,1,track,user,0.8,4
7618429,293,0,0,0,-1,8,58,1,track,user,0.8,4
7629590,64,0,0,0,-1,1,18,1,track,user,0.8,4
7639043,0,0,0,0,-1,8,52,1,track,user,0.8,4
7677743,601,0,0,0,-1,0,4,1,track,user,0.8,4
7684406,601,0,0,0,-1,0,4,1,track,user,0.8,4
7698334,16,0,0,0,-1,2,18,1,track,user,0.8,4
7743144,331,0,0,0,50,10,84,1,track,user,0.8,4
7743443,552,0,0,0,-1,9,69,1,track,user,0.8,4
7754452,609,0,0,0,230,7,57,1,track,user,0.8,4
7777247,446,0,0,0,-1,7,52,1,track,user,0.8,4
7797583,601,0,0,0,-1,0,7,1,track,user,0.8,4
7832253,143,0,0,0,-1,1,67,1,track,user,0.8,4
7867519,74,0,0,0,-1,7,87,1,track,user,0.8,4
7881522,326,0,0,0,-1,3,78,1,track,user,0.8,4
7887085,139,0,0,0,-1,8,82,1,track,user,0.8,4
7904680,0,0,0,0,-1,8,82,1,track,user,0.8,4
7908034,601,0,0,0,-1,0,83,1,track,user,0.8,4
7920854,601,0,0,0,-1,0,11,1,track,user,0.8,4
7926779,601,0,0,0,-1,0,15,1,track,user,0.8,4
7935519,604,0,0,0,-1,8,69,1,track,user,0.8,4
7950309,137,0,0,0,-1,1,16,1,track,user,0.8,4
7956500,601,0,0,0,-1,0,32,1,track,user,0.8,4
7972651,242,0,0,1,8,2,21,1,track,user,0.8,4
7978894,601,0,0,0,-1,0,29,1,track,user,0.8,4
7979064,350,0,0,0,-1,6,75,1,track,user,0.8,4
7998382,601,0,0,0,-1,0,13,1,track,user,0.8,4
8024343,601,0,0,0,-1,0,7,1,track,user,0.8,4
8089673,601,0,0,0,-1,0,4,1,track,user,0.8,4
8105751,601,0,0,0,-1,0,10,1,track,user,0.8,4
8167968,189,0,0,0,-1,2,20,1,track,user,0.8,4
8190085,0,0,0,0,-1,2,22,1,track,user,0.8,4
8191260,601,0,0,0,-1,0,5,1,track,user,0.8,4
8194287,68,0,0,0,-1,2,43,1,track,user,0.8,4
8198489,0,0,0,0,-1,2,31,1,track,user,0.8,4
8201727,252,0,0,0,233,1,17,1,track,user,0.8,4
8204233,601,0,0,0,-1,0,16,1,track,user,0.8,4
8233053,221,0,0,0,-1,7,56,1,track,user,0.8,4
8246828,601,0,0,0,-1,0,6,1,track,user,0.8,4
8248030,601,0,0,0,-1,0,15,1,track,user,0.8,4
8280733,601,0,0,0,-1,0,4,1,track,user,0.8,4
8283369,549,0,0,0,-1,13,95,1,track,user,0.8,4
8291811,276,0,0,0,-1,6,57,1,track,user,0.8,4
8297745,601,0,0,0,-1,0,4,1,track,user,0.8,4
8306697,601,0,0,0,-1,0,3,1,track,user,0.8,4
8312997,601,0,0,0,-1,0,13,1,track,user,0.8,4
8320579,52,0,0,0,-1,4,30,1,track,user,0.8,4
8330885,601,0,0,0,-1,0,15,1,track,user,0.8,4
8338070,601,0,0,0,-1,0,3,1,track,user,0.8,4
8344086,601,0,0,0,-1,0,24,1,track,user,0.8,4
8348446,601,0,0,0,-1,0,3,1,track,user,0.8,4
8353608,601,0,0,0,-1,0,4,1,track,user,0.8,4
8355830,601,0,0,0,-1,0,13,1,track,user,0.8,4
8357387,348,0,0,0,-1,3,38,1,track,user,0.8,4
8397615,56,0,0,0,-1,4,29,1,track,user,0.8,4
8439328,310,0,0,0,-1,2,32,1,track,user,0.8,4
8442020,620,0,0,0,-1,1,16,1,track,user,0.8,4
8442106,601,0,0,0,-1,0,26,1,track,user,0.8,4
8463723,601,0,0,0,-1,0,39,1,track,user,0.8,4
8465997,427,0,0,0,-1,3,81,1,track,user,0.8,4
8471531,601,0,0,0,-1,0,5,1,track,user,0.8,4
8490452,275,0,0,0,255,8,64,1,track,user,0.8,4
8500205,305,0,0,0,40,3,62,1,track,user,0.8,4
8524452,601,0,0,0,-1,0,51,1,track,user,0.8,4
8579773,601,0,0,0,-1,0,15,1,track,user,0.8,4
8651459,601,0,0,0,-1,0,7,1,track,user,0.8,4
8656287,601,0,0,0,-1,0,11,1,track,user,0.8,4
8689717,601,0,0,0,-1,0,9,1,track,user,0.8,4
8693859,396,0,0,0,-1,7,44,1,track,user,0.8,4
8694290,83,0,0,0,-1,3,27,1,track,user,0.8,4
8700105,0,0,0,0,-1,3,37,1,track,user,0.8,4
8734928,146,0,0,0,-1,1,14,1,track,user,0.8,4
8738234,59,0,0,0,-1,3,62,1,track,user,0.8,4
8741331,0,0,0,0,-1,2,25,1,track,user,0.8,4
8766786,459,0,0,0,-1,11,65,1,track,user,0.8,4
8768774,242,0,0,0,-1,9,68,1,track,user,0.8,4
8795438,601,0,0,0,-1,0,3,1,track,user,0.8,4
8803518,570,0,0,0,-1,1,38,1,track,user,0.8,4
8809676,601,0,0,0,-1,0,32,1,track,user,0.8,4
8816058,601,0,0,0,-1,0,57,1,track,user,0.8,4
8837365,554,0,1,1,3,6,43,1,track,user,0.8,4
8868063,601,0,0,0,-1,0,15,1,track,user,0.8,4
8914843,601,0,0,0,-1,0,4,1,track,user,0.8,4
8923099,90,0,0,0,-1,10,96,1,track,user,0.8,4
8957445,21,0,0,0,-1,2,22,1,track,user,0.8,4
8957749,218,0,0,0,-1,4,29,1,track,user,0.8,4
8960526,601,0,0,0,-1,0,4,1,track,user,0.8,4
8964713,601,0,0,0,-1,0,13,1,track,user,0.8,4
8976972,601,0,0,0,-1,0,3,1,track,user,0.8,4
9026133,0,0,0,0,-1,5,47,1,track,user,0.8,4
9053957,601,0,0,0,-1,0,19,1,track,user,0.8,4
9059293,459,0,0,0,71,10,88,1,track,user,0.8,4
9128720,601,0,0,0,-1,0,9,1,track,user,0.8,4
9134197,146,0,0,0,-1,9,76,1,track,user,0.8,4
9139966,341,0,0,0,37,10,65,1,track,user,0.8,4
9141443,601,0,0,0,-1,0,4,1,track,user,0.8,4
9165254,601,0,0,0,-1,0,12,1,track,user,0.8,4
9192976,57,0,0,0,-1,4,31,1,track,user,0.8,4
9194472,601,0,0,0,-1,0,11,1,track,user,0.8,4
9241059,481,0,0,0,-1,2,38,1,track,user,0.8,4
9246453,601,0,0,0,-1,0,16,1,track,user,0.8,4
